date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:01:28	40738/40738	---M--	200	added ('OK')	application/javascript	date:Sat,%2018%20Apr%202020%2019:35:13%20GMT	https://cloudupbot.xyz/js/bootstrap-datetimepicker.min.js	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/js/bootstrap-datetimepicker.min.js	(from https://cloudupbot.xyz/)
10:01:28	28196/28196	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2018%20Apr%202020%2019:39:20%20GMT	https://cloudupbot.xyz/fonts/open-iconic/open-iconic.eot	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/open-iconic/open-iconic.eot	(from https://cloudupbot.xyz/css/open-iconic-bootstrap.min.css)
10:01:28	28196/28196	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2018%20Apr%202020%2019:39:20%20GMT	https://cloudupbot.xyz/fonts/open-iconic/open-iconic.eot?	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/open-iconic/open-iconicd41d.eot	(from https://cloudupbot.xyz/css/open-iconic-bootstrap.min.css)
10:01:28	14984/14984	---M--	200	added ('OK')	font/woff	date:Sat,%2018%20Apr%202020%2019:39:22%20GMT	https://cloudupbot.xyz/fonts/open-iconic/open-iconic.woff	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/open-iconic/open-iconic.woff	(from https://cloudupbot.xyz/css/open-iconic-bootstrap.min.css)
10:01:29	28028/28028	---M--	200	added ('OK')	font/ttf	date:Sat,%2018%20Apr%202020%2019:39:21%20GMT	https://cloudupbot.xyz/fonts/open-iconic/open-iconic.ttf	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/open-iconic/open-iconic.ttf	(from https://cloudupbot.xyz/css/open-iconic-bootstrap.min.css)
10:01:29	20996/20996	---M--	200	added ('OK')	font/otf	date:Sat,%2018%20Apr%202020%2019:39:20%20GMT	https://cloudupbot.xyz/fonts/open-iconic/open-iconic.otf	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/open-iconic/open-iconic.otf	(from https://cloudupbot.xyz/css/open-iconic-bootstrap.min.css)
10:01:29	160915/160915	---M--	200	added ('OK')	application/javascript	date:Sat,%2018%20Apr%202020%2019:35:21%20GMT	https://cloudupbot.xyz/js/moment-with-locales.min.js	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/js/moment-with-locales.min.js	(from https://cloudupbot.xyz/)
10:01:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2007:01:30%20GMT	https://cloudupbot.xyz/css/owl.video.play.png	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/css/owl.video.play.png	(from https://cloudupbot.xyz/css/owl.carousel.min.css)
10:01:30	54789/54789	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Apr%202020%2019:39:21%20GMT	https://cloudupbot.xyz/fonts/open-iconic/open-iconic.svg	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/open-iconic/open-iconic.svg	(from https://cloudupbot.xyz/css/open-iconic-bootstrap.min.css)
10:01:31	112826/112826	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2018%20Apr%202020%2019:41:04%20GMT	https://cloudupbot.xyz/fonts/ionicons/fonts/ionicons.eot?v=4.0.0-19	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/ionicons/fonts/ionicons580c.eot	(from https://cloudupbot.xyz/css/ionicons.min.css)
10:01:31	66024/66024	---M--	200	added ('OK')	font/woff	date:Sat,%2018%20Apr%202020%2019:41:02%20GMT	https://cloudupbot.xyz/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/ionicons/fonts/ionicons580c.woff	(from https://cloudupbot.xyz/css/ionicons.min.css)
10:01:31	50592/50592	---M--	200	added ('OK')	font/woff2	date:Sat,%2018%20Apr%202020%2019:41:03%20GMT	https://cloudupbot.xyz/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/ionicons/fonts/ionicons580c.woff2	(from https://cloudupbot.xyz/css/ionicons.min.css)
10:01:31	112648/112648	---M--	200	added ('OK')	font/ttf	date:Sat,%2018%20Apr%202020%2019:41:04%20GMT	https://cloudupbot.xyz/fonts/ionicons/fonts/ionicons.ttf?v=4.0.0-19	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/ionicons/fonts/ionicons580c.ttf	(from https://cloudupbot.xyz/css/ionicons.min.css)
10:01:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2007:01:32%20GMT	https://cloudupbot.xyz/images/clock-bg-sm.png	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/images/clock-bg-sm.png	(from https://cloudupbot.xyz/css/bootstrap-datetimepicker.min.css)
10:01:32	9802/9802	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2018%20Apr%202020%2019:43:20%20GMT	https://cloudupbot.xyz/fonts/flaticon/font/Flaticon.eot	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/flaticon/font/Flaticon.eot	(from https://cloudupbot.xyz/css/flaticon.css)
10:01:32	9802/9802	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2018%20Apr%202020%2019:43:20%20GMT	https://cloudupbot.xyz/fonts/flaticon/font/Flaticon.eot?	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/flaticon/font/Flaticond41d.eot	(from https://cloudupbot.xyz/css/flaticon.css)
10:01:32	6464/6464	---M--	200	added ('OK')	font/woff	date:Sat,%2018%20Apr%202020%2019:43:21%20GMT	https://cloudupbot.xyz/fonts/flaticon/font/Flaticon.woff	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/flaticon/font/Flaticon.woff	(from https://cloudupbot.xyz/css/flaticon.css)
10:01:32	9624/9624	---M--	200	added ('OK')	font/ttf	date:Sat,%2018%20Apr%202020%2019:43:21%20GMT	https://cloudupbot.xyz/fonts/flaticon/font/Flaticon.ttf	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/flaticon/font/Flaticon.ttf	(from https://cloudupbot.xyz/css/flaticon.css)
10:01:33	64790/64790	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Apr%202020%2019:43:22%20GMT	https://cloudupbot.xyz/fonts/flaticon/font/Flaticon.svg	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/flaticon/font/Flaticon.svg	(from https://cloudupbot.xyz/css/flaticon.css)
10:01:34	313199/313199	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Apr%202020%2019:41:01%20GMT	https://cloudupbot.xyz/fonts/ionicons/fonts/ionicons.svg?v=4.0.0-19	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/ionicons/fonts/ionicons580c.svg	(from https://cloudupbot.xyz/css/ionicons.min.css)
10:01:35	307168/307168	---M--	200	added ('OK')	font/ttf	date:Sat,%2018%20Apr%202020%2019:42:22%20GMT	https://cloudupbot.xyz/fonts/icomoon/icomoon.ttf?6tt51o	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/icomoon/icomoonccfb.ttf	(from https://cloudupbot.xyz/css/icomoon.css)
10:01:35	307332/307332	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2018%20Apr%202020%2019:42:17%20GMT	https://cloudupbot.xyz/fonts/icomoon/icomoon.eot?6tt51o	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/icomoon/icomoonccfb.eot	(from https://cloudupbot.xyz/css/icomoon.css)
10:01:36	307244/307244	---M--	200	added ('OK')	font/woff	date:Sat,%2018%20Apr%202020%2019:42:17%20GMT	https://cloudupbot.xyz/fonts/icomoon/icomoon.woff?6tt51o	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/icomoon/icomoonccfb.woff	(from https://cloudupbot.xyz/css/icomoon.css)
10:01:43	935341/935341	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Apr%202020%2019:42:27%20GMT	https://cloudupbot.xyz/fonts/icomoon/icomoon.svg?6tt51o	C:/Users/%c4%b0smail/Desktop/CloudUP.xyz/CloudUP/cloudupbot.xyz/fonts/icomoon/icomoonccfb.svg	(from https://cloudupbot.xyz/css/icomoon.css)
